product_name,product_category_tree,retail_price,discounted_price,brand,discounted_percent
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,"[""Pens & Stationery >> Office Supplies >> Packaging Security Bags >> Packman Packaging Security Bags >> Packman 8 x 10 inches Security Bags Without POD ...""]",350.0,298.0,Packman,14.857142857142858
Pick Pocket Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> Pick Pocket Waistcoats >> Pick Pocket Embroidered Women's Waistcoat""]",899.0,899.0,Pick Pocket,0.0
Angelfish Silk Potali Potli,"[""Bags, Wallets & Belts >> Bags >> Pouches and Potlis >> Angelfish Pouches and Potlis >> Angelfish Silk Potali Potli (Multicolor)""]",999.0,399.0,Angelfish,60.06006006006006
Oye Boy's Dungaree,"[""Clothing >> Kids' Clothing >> Boys Wear >> Dungarees & Jumpsuits >> Dungarees >> Oye Dungarees >> Oye Boy's Dungaree""]",899.0,764.0,Oye,15.016685205784205
Nuride Canvas Shoes,"[""Footwear >> Women's Footwear >> Casual Shoes >> Canvas >> Nuride Canvas Shoes""]",1999.0,1349.0,Nuride,32.51625812906453
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,"[""Home Decor & Festive Needs >> Showpiece >> Gramophones >> OM SHIVAKRITI Gramophones >> OM SHIVAKRITI Square wall Clock Showpiece  -  38...""]",1499.0,1499.0,OM SHIVAKRITI,0.0
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Sun Shades >> Himmlisch ST381 Magnetic Sun Shade For Maruti Al...""]",6999.0,1899.0,Himmlisch,72.86755250750107
Rapter BNC-179 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-179 BNC Wire Connector (Silver, Pack ...""]",2299.0,1400.0,Rapter,39.10395824271423
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",999.0,499.0,Vishudh,50.050050050050054
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899.0,449.0,Vishudh,50.055617352614014
Vishudh Printed Women's Anarkali Kurta,"[""Vishudh Printed Women's Anarkali Kurta""]",2099.0,1049.0,Vishudh,50.02382086707956
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,"[""BuildTrack PIR Wireless Motion Sensor - One Swit...""]",6500.0,5000.0,BuildTrack,23.076923076923077
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,"[""Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...""]",9990.0,4990.0,Skayvon,50.050050050050054
MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",1399.0,599.0,MASARA,57.18370264474625
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899.0,449.0,Vishudh,50.055617352614014
Rapter BNC-047 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-047 BNC Wire Connector (Silver, Pack ...""]",1299.0,899.0,Rapter,30.792917628945343
Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,"[""Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...""]",8999.0,4990.0,Skayvon,44.54939437715302
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899.0,449.0,Vishudh,50.055617352614014
Behringer Xenyx 502 Analog Sound Mixer,"[""Behringer Xenyx 502 Analog Sound Mixer""]",10000.0,6600.0,Behringer,34.0
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899.0,449.0,Vishudh,50.055617352614014
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899.0,449.0,Vishudh,50.055617352614014
MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",1399.0,599.0,MASARA,57.18370264474625
MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",1399.0,550.0,MASARA,60.686204431736954
Roadster Men's Zipper Solid Cardigan,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Cardigans >> Roadster Cardigans >> Roadster Men's Zipper Solid Cardigan""]",1399.0,699.0,Roadster,50.03573981415297
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",999.0,499.0,Vishudh,50.050050050050054
Noor Embroidered Women's Straight Kurta,"[""Noor Embroidered Women's Straight Kurta""]",1649.0,849.0,Noor,48.51425106124924
MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",1399.0,599.0,MASARA,57.18370264474625
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899.0,449.0,Vishudh,50.055617352614014
Libas Printed Women's A-line Kurta,"[""Libas Printed Women's A-line Kurta""]",899.0,449.0,Libas,50.055617352614014
Libas Printed Women's Anarkali Kurta,"[""Libas Printed Women's Anarkali Kurta""]",1849.0,924.0,Libas,50.02704164413196
MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",999.0,499.0,MASARA,50.050050050050054
HRS ULTIMATE BOY Chest Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE BOY Chest Pads (WHITE, RIGHT-HANDED)""]",440.0,395.0,HRS,10.227272727272728
Vermello Men Casual Brown Genuine Leather Belt,"[""Bags, Wallets & Belts >> Belts >> Vermello Belts >> Vermello Men Casual Brown Genuine Leather Belt (...""]",1495.0,795.0,Vermello,46.82274247491639
HRS CLUB BOY Thigh Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS CLUB BOY Thigh Pads (WHITE, RIGHT-HANDED)""]",280.0,250.0,HRS,10.714285714285714
Ligans NY Men Formal Black Genuine Leather Belt,"[""Bags, Wallets & Belts >> Belts >> Ligans NY Belts >> Ligans NY Men Formal Black Genuine Leather Belt ...""]",795.0,695.0,Ligans NY,12.578616352201259
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,"[""Home Furnishing >> Curtains & Accessories >> Curtains >> Elegance Polyester Multicolor Abstract Eyelet Do...""]",1899.0,899.0,Elegance,52.6592943654555
Liza Women Wedges,"[""Footwear >> Women's Footwear >> Wedges >> Liza Women Wedges""]",1990.0,1393.0,Liza,30.0
HRS ULTIMATE BOY Elbow Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE BOY Elbow Pads (WHITE, RIGHT-HANDED)""]",250.0,230.0,HRS,8.0
Sathiyas Cotton Bath Towel,"[""Baby Care >> Baby Bath & Skin >> Baby Bath Towels >> Sathiyas Baby Bath Towels >> Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Y...""]",600.0,449.0,Sathiyas,25.166666666666664
HRS ULTIMATE MEN Chest Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE MEN Chest Pads (WHITE, RIGHT-HANDED)""]",440.0,395.0,HRS,10.227272727272728
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,"[""Home Furnishing >> Bed Linen >> Bedsheets >> SANTOSH ROYAL FASHION Bedsheets >> SANTOSH ROYAL FASHION Cotton Printed King sized ...""]",2699.0,1299.0,SANTOSH ROYAL FASHION,51.87106335679882
CASEDEAL Microsoft Nokia lumia x2 Back Panel,"[""Mobiles & Accessories >> Mobile Accessories >> Mobile Body Panels >> CASEDEAL Mobile Body Panels >> CASEDEAL Microsoft Nokia lumia x2 Back Panel (Wh...""]",1999.0,380.0,CASEDEAL,80.99049524762381
Mario Gotze Women's Printed Casual Orange Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> Mario Gotze Shirts >> Mario Gotze Women's Printed Casual Orange Shirt""]",1499.0,899.0,Mario Gotze,40.0266844563042
Jaipur Print Cotton Floral King sized Double Bedsheet,"[""Home Furnishing >> Bed Linen >> Bedsheets >> Jaipur Print Bedsheets >> Jaipur Print Cotton Floral King sized Double Bed...""]",2599.0,698.0,Jaipur Print,73.14351673720661
Shilpi NHSCN003 Coin Bank,"[""Pens & Stationery >> College Supplies >> Coin Banks >> Shilpi Coin Banks >> Shilpi NHSCN003 Coin Bank (Brown)""]",900.0,650.0,Shilpi,27.77777777777778
Jaipur Print Cotton Floral King sized Double Bedsheet,"[""Home Furnishing >> Bed Linen >> Bedsheets >> Jaipur Print Bedsheets >> Jaipur Print Cotton Floral King sized Double Bed...""]",2599.0,698.0,Jaipur Print,73.14351673720661
Babeezworld Dungaree Baby Boy's  Combo,"[""Baby Care >> Infant Wear >> Baby Boys' Clothes >> Combo Sets >> Babeezworld Combo Sets >> Babeezworld Dungaree Baby Boy's  Combo""]",999.0,499.0,Babeezworld,50.050050050050054
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpiece >> Religious Idols >> Redbag Religious Idols >> Redbag Eight Armed Goddess Sherawali Maa Showpie...""]",1600.0,1200.0,Redbag,25.0
"Proence Weight Gainers, Mass Gainers","[""Food & Nutrition >> Health & Nutrition >> Protein Supplements >> Proence Weight Gainers, Mass Gainers (60 No, Unf...""]",1025.0,949.0,Proence,7.414634146341463
Discountgod Men's Checkered Casual Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Discountgod Casual & Party Wear Shirts""]",750.0,590.0,Slim,21.333333333333336
Silver Streak Men's Printed Casual Denim Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Silver Streak Casual & Party Wear Shirts""]",1299.0,599.0,Slim,53.88760585065435
Reckler Slim Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Reckler Jeans""]",5398.0,2599.0,Slim,51.85253797702853
